key,where,placeholders,en,cs
matchPreviewTitle,App-bar title on the pre-match preview screen.,,MATCH PREVIEW,NÁHLED ZÁPASU
matchKickOff,Button that starts the live match.,,Kick off,Výkop
matchTactics,Button opening the lineup & tactics editor.,,Tactics,Taktika
matchYourXi,Heading above the manager's starting eleven.,,YOUR XI,VAŠE SESTAVA
matchHeadToHead,Heading on the head-to-head record card.,,HEAD TO HEAD,VZÁJEMNÉ ZÁPASY
matchCouldNotLoad,Error shown when the match preview fails to load.,{error},Could not load match.\n{error},Zápas se nepodařilo načíst.\n{error}
matchNoUpcoming,Shown when the nation has no next fixture.,,No upcoming match.,Žádný nadcházející zápas.
matchUnknownNation,Fallback name for a nation that can't be resolved.,,Unknown,Neznámý
matchH2hFirstMeeting,Head-to-head summary when the sides have never met.,,First-ever meeting,První vzájemný zápas
matchH2hYouLead,Head-to-head summary when the manager has more wins.,,You lead the head-to-head,Vedete ve vzájemných zápasech
matchH2hOppEdge,Head-to-head summary when the opponent has more wins.,{opponent},{opponent} have the edge,Navrch má {opponent}
matchH2hEven,Head-to-head summary when wins are level.,,Honours even,Vyrovnaná bilance
matchH2hMet,Number of times the two sides have met.,{count},{count} met,{count} zápasů
matchH2hWon,Head-to-head tally label: matches won.,,Won,Výhry
matchH2hDrawn,Head-to-head tally label: matches drawn.,,Drawn,Remízy
matchH2hLost,Head-to-head tally label: matches lost.,,Lost,Prohry
matchDossierTitle,Heading on the pre-match opponent dossier card.,,Scouting report,Zpráva skautů
matchDossierForm,Label before the opponent's recent-form strip.,,FORM,FORMA
matchDossierNoGames,Shown when the opponent has no recent results.,,No recent games,Žádné nedávné zápasy
matchDossierKeyMen,Label above the opponent's danger men.,,KEY MEN,KLÍČOVÍ HRÁČI
matchCouldNotContinue,Snackbar when advancing past the match fails.,{error},Could not continue: {error},Nelze pokračovat: {error}
matchSkipToFullTime,Tooltip on the button that fast-forwards to the final whistle.,,Skip to full time,Přeskočit do konce
matchStatShots,Match stat bar label: shots.,,Shots,Střely
matchMomentum,Label on the live momentum bar.,,MOMENTUM,MOMENTUM
matchSwingAtk,Abbreviation for the attack swing from a team talk.,,ATK,ÚT
matchSwingDef,Abbreviation for the defensive swing from a team talk.,,DEF,OBR
ceremonyWorldCupYear,Opening-ceremony banner heading with the edition year.,{year},WORLD CUP {year},MISTROVSTVÍ SVĚTA {year}
ceremonyFinalsAreHere,Opening-ceremony tagline.,,THE FINALS ARE HERE,FINÁLOVÝ TURNAJ ZAČÍNÁ
ceremonyHostedBy,Opening-ceremony host line.,{hosts},HOSTED BY  {hosts},POŘÁDÁ  {hosts}
ceremonyHostTbc,Shown when the host isn't known yet.,,HOST TO BE CONFIRMED,POŘADATEL BUDE POTVRZEN
matchHalfTime,Heading on the half-time interval overlay.,,HALF TIME,POLOČAS
matchContinue,Button that resumes play from the interval.,,Continue,Pokračovat
matchTacticsWithSubs,"Tactics button on the interval overlay, with subs used.",{used} {max},Tactics · {used}/{max} subs,Taktika · {used}/{max} střídání
matchTiredCount,Live match control bar tactics pill label when players are out of energy; the substitution count is shown separately so it is never clipped.,{count},TIRED ×{count},ÚNAVA ×{count}
matchTacticsLabel,Live match control bar tactics pill label when no players are tired.,,TACTICS,TAKTIKA
teamOverallOverTime,Heading over the chart of a nation's overall rating by year.,,OVERALL OVER TIME,VÝVOJ CELKOVÉHO HODNOCENÍ
teamOverall,Label for a team's overall rating (the mean of its best eleven).,,Overall,Celkový přehled
teamTalkHeading,Heading above the interval team-talk options.,,TEAM TALK,PORADA TÝMU
teamTalkPrompt,Prompt shown before a team talk is chosen.,,Set the tone for the second half.,Nastavte tón pro druhý poločas.
teamTalkCalmLabel,Team-talk tone button label.,,Calm heads,Chladné hlavy
teamTalkCalmBlurb,Team-talk tone description.,,Steady the side. A small all-round lift.,Uklidněte tým. Mírné celkové zlepšení.
teamTalkEncourageLabel,Team-talk tone button label.,,Encourage,Povzbuzení
teamTalkEncourageBlurb,Team-talk tone description.,,Push forward and go for the game.,Zatlačte dopředu a jděte si pro zápas.
teamTalkDemandMoreLabel,Team-talk tone button label.,,Demand more,Žádejte víc
teamTalkDemandMoreBlurb,Team-talk tone description.,,Throw everything at it. Attack hard.,Vsaďte vše na útok. Zaútočte naplno.
teamTalkPraiseLabel,Team-talk tone button label.,,Keep it tight,Držte to vzadu
teamTalkPraiseBlurb,Team-talk tone description.,,Stay compact and protect what you have.,Zůstaňte kompaktní a udržte si náskok.
teamTalkBelieveLabel,Team-talk tone button label.,,Believe,Věřte si
teamTalkBelieveBlurb,Team-talk tone description.,,Back yourselves. A lift at both ends of the pitch.,Věřte si. Zlepšení na obou koncích hřiště.
teamTalkFocusLabel,Team-talk tone button label.,,Stay switched on,Zůstaňte koncentrovaní
teamTalkFocusBlurb,Team-talk tone description.,,Total concentration. Lock the game down.,Naprostá koncentrace. Zamkněte zápas.
teamTalkUrgencyLabel,Team-talk tone button label.,,Sense of urgency,Pocit naléhavosti
teamTalkUrgencyBlurb,Team-talk tone description.,,"Chase it down now. All-out, and it leaves gaps.","Hned to dožeňte. Vše dopředu, otevřete obranu."
teamTalkReassureLabel,Team-talk tone button label.,,No pressure,Žádný tlak
teamTalkReassureBlurb,Team-talk tone description.,,Settle the nerves and keep your shape.,Uklidněte nervy a držte rozestavení.
commonRetry,Generic retry button on an error placeholder.,,Retry,Zkusit znovu
commonSomethingWentWrong,Generic error-placeholder heading.,,Something went wrong,Něco se pokazilo
commonCrashBox,Shown in place of a widget subtree that failed to build.,,Something went wrong here.\nSettings → Diagnostics has the details.,Tady se něco pokazilo.\nPodrobnosti najdete v Nastavení → Diagnostika.
hubCouldNotAdvance,Snackbar when a hub action that simulates the world fails.,{error},Could not advance the world: {error},Svět se nepodařilo posunout: {error}
settingsDiagnosticsTitle,Settings row opening the on-device error log.,,Diagnostics,Diagnostika
settingsDiagnosticsBlurb,Explains what the diagnostics log is and that it stays local.,,Errors recorded on this device. Nothing is sent anywhere.,Chyby zaznamenané v tomto zařízení. Nikam se neodesílají.
diagnosticsEmpty,Placeholder when the error log is empty.,,No errors recorded. That's the idea.,Žádné chyby. Přesně tak to má být.
diagnosticsCopy,Button copying the whole error log to the clipboard.,,Copy,Kopírovat
diagnosticsCopied,Confirmation that the log was copied.,,Log copied to the clipboard.,Záznam zkopírován do schránky.
diagnosticsClear,Button emptying the error log.,,Clear,Vymazat
navHub,Bottom navigation label for the hub tab.,,Hub,Rozcestník
navSquad,Bottom navigation label for the squad/tactics tab.,,Squad,Tým
navStandings,Bottom navigation label for the tournaments/standings tab.,,Standings,Tabulky
navCareers,Bottom navigation label for the careers tab.,,My Career,Moje kariéra
settingsTitle,App-bar title on the settings screen.,,SETTINGS,NASTAVENÍ
settingsSoundHapticsTitle,Sound-and-haptics toggle label.,,Sound & haptics,Zvuk a vibrace
settingsSoundHapticsBlurb,Sound-and-haptics toggle description.,,"Vibration and a short tone on goals, kick-off and full time.","Vibrace a krátký tón při gólech, výkopu a konci zápasu."
settingsLanguageTitle,Language selector label.,,Language,Jazyk
settingsLanguageBlurb,Language selector description.,,"Choose the app language, or follow your device.","Vyberte jazyk aplikace, nebo použijte jazyk zařízení."
settingsLanguageSystem,Language option: follow the device language.,,System,Systém
settingsLanguageEnglish,Language option: English.,,English,Angličtina
settingsLanguageCzech,Language option: Czech (in Czech).,,Čeština,Čeština
recordsMeetings,App-bar title on the head-to-head meetings list.,,MEETINGS,ZÁPASY
recordsLegends,Legends screen title / banner.,,LEGENDS,LEGENDY
recordsAllTimeXi,Heading over the all-time best eleven.,,ALL-TIME XI,JEDENÁCTKA HISTORIE
recordsHallOfFame,Heading over the hall-of-fame list.,,HALL OF FAME,SÍŇ SLÁVY
recordsAllTimeWorld,Title of the global all-time records screen / nav card.,,ALL-TIME WORLD,SVĚTOVÉ REKORDY
recordsAllTimeTopScorers,Leaderboard heading.,,ALL-TIME TOP SCORERS,NEJLEPŠÍ STŘELCI HISTORIE
recordsMostCapped,Leaderboard heading (global most caps).,,MOST CAPPED,NEJVÍCE STARTŮ
recordsMostWcStarts,Leaderboard heading.,,MOST WORLD CUP STARTS,NEJVÍCE STARTŮ NA MS
recordsMostTournaments,Leaderboard heading.,,MOST TOURNAMENTS ATTENDED,NEJVÍCE ODEHRANÝCH TURNAJŮ
recordsRecordBook,Record book screen title.,,RECORD BOOK,KNIHA REKORDŮ
recordsHeadToHead,Head-to-head screen title / nav card.,,HEAD TO HEAD,VZÁJEMNÉ ZÁPASY
recordsFiercestRival,Heading on the fiercest-rival card.,,FIERCEST RIVAL,NEJVĚTŠÍ RIVAL
recordsMostCaps,Leaderboard heading (nation most caps).,,MOST CAPS,NEJVÍCE STARTŮ
recordsTopScorers,Leaderboard heading.,,TOP SCORERS,NEJLEPŠÍ STŘELCI
recordsMostAssists,Leaderboard heading.,,MOST ASSISTS,NEJVÍCE ASISTENCÍ
recordsYourRecord,Heading over the manager's head-to-head ledger.,,YOUR RECORD,VAŠE BILANCE
recordsHome,Label over the home nation slot in head-to-head.,,HOME,DOMA
recordsAway,Label over the away nation slot in head-to-head.,,AWAY,VENKU
recordsActive,Badge every all-time chart puts on a player who is still playing.,,ACTIVE,AKTIVNÍ
recordsStillActive,Legend text next to the active marker dot.,,Still active,Stále aktivní
recordsAvg,Tiny label under a legend's average rating.,,avg,prům.
recordsSelect,Placeholder in an empty nation slot.,,Select,Vybrat
recordsVs,Separator between the two nation slots.,,vs,vs
recordsDraws,Tally label for drawn meetings.,,Draws,Remízy
recordsGoalsLabel,Stat-row label for goals.,,Goals,Góly
recordsBestFinish,Team-record row label.,,Best finish,Nejlepší umístění
recordsNoFinalsYet,Record book: the nation has never reached the World Championship finals.,,No finals appearance yet,Zatím žádná účast na závěrečném turnaji
recordsLongestUnbeaten,Team-record row label.,,Longest unbeaten,Nejdelší neporazitelnost
recordsBiggestWin,Team-record / stat-row label for biggest win.,,Biggest win,Nejvyšší výhra
recordsSeeAllMeetings,Button opening the full meetings list.,,See all meetings,Zobrazit všechny zápasy
recordsSaveNotFound,Shown when the save can't be loaded.,,Save not found.,Uložená hra nenalezena.
recordsNoMatches,Shown when a search returns no leaders.,,No matches.,Žádné výsledky.
recordsSearchPlayerOrNation,Search box hint on the all-time records screen.,,Search player or nation,Hledat hráče nebo zemi
recordsSearchNation,Search box hint in the nation picker.,,Search nation,Hledat zemi
recordsPickTwoDifferent,Hint when the same nation is picked twice.,,Pick two different nations.,Vyberte dvě různé země.
recordsPlayToBuildRecord,Empty state for the head-to-head ledger.,,Play some matches and your record against each opponent will build here.,Odehrajte nějaké zápasy a vaše bilance proti jednotlivým soupeřům se zde postupně objeví.
recordsTapOpponent,Sub-heading under the head-to-head ledger.,,Tap an opponent for the full breakdown.,Klepněte na soupeře pro úplný přehled.
recordsEdgeUpperHand,Rivalry edge label when winning the head-to-head.,,You hold the upper hand,Máte navrch
recordsEdgeTheirNumber,Rivalry edge label when losing the head-to-head.,,They have your number,Mají nad vámi navrch
recordsEdgeEven,Rivalry edge label when the head-to-head is level.,,Honours even,Vyrovnaná bilance
recordsAllTimeWorldSubtitle,Subtitle on the all-time world nav card.,,"Global scorers & most-capped, every nation","Světoví střelci a nejvíce startů, všechny země"
recordsHeadToHeadSubtitle,Subtitle on the head-to-head nav card.,,Compare any two nations’ all-time record,Porovnejte historickou bilanci dvou zemí
recordsLegendsSubtitle,Subtitle on the legends banner.,,All-time XI & hall of fame,Jedenáctka historie a síň slávy
